from,to,count,
THIES SUD,MEUR MOMAR SARR,0,No
THIES SUD,MBEDIENE,1,No
THIES SUD,COKI,0,No
THIES SUD,SAGATTA GUETH I,1,No
THIES SUD,SAGATTA GUETH II,1,No
THIES SUD,DAROU MOUSTY,0,No
THIES SUD,SAGATTA DJOLOF,1,No
THIES SUD,YANG YANG,1,No
THIES SUD,DODJI,0,No
THIES SUD,BARKEDJI,0,No
THIES SUD,MBADAKHOUNE,0,No
THIES SUD,NGUELOU,2,No
THIES SUD,NGOTHIE,0,No
THIES SUD,KOUMBAL,5,No
THIES SUD,NDIEDIENG,0,No
THIES SUD,PAOS KOTO,0,No
THIES SUD,WACK NGOUNA,0,No
THIES SUD,MEDINA SABAKH,1,No
THIES SUD,GNIBY,2,No
THIES SUD,DAROU MINAME II,0,No
THIES SUD,KATAKELKEUR MBOUCKI,0,No
THIES SUD,KEUR MBOUCKI,0,No
THIES SUD,SAGNA,0,No
THIES SUD,IDA MOURIDE,0,No
THIES SUD,MISSIRAH WADENE,0,No
THIES SUD,LOUR ESCALE,0,No
THIES SUD,MABO,1,No
THIES SUD,MBANE,0,No
THIES SUD,SALDE,0,No
THIES SUD,NDIAYE MBERESS,1,No
THIES SUD,GAMADJI SARRE,0,No
THIES SUD,CAS CAS,1,No
THIES SUD,RAO,7,No
THIES SUD,THILE BOUBACAR,1,No
THIES SUD,FAFACOUROU,0,No
THIES SUD,MAMPATIM,0,No
THIES SUD,NDORNA,0,No
THIES SUD,BONCONTO,1,No
THIES SUD,NIAMING,0,No
THIES SUD,DIOULACOLON,0,No
THIES SUD,SARE COLY SALE,0,No
THIES SUD,PAKOUR,0,No
THIES SUD,SARE BIDJI,4,No
THIES SUD,DJIBANAR,2,No
THIES SUD,DJIREDJI,0,No
THIES SUD,DIAROUME,0,No
THIES SUD,BONA,2,No
THIES SUD,KARANTABA,0,No
THIES SUD,DIENDE,0,No
THIES SUD,BOGHAL,0,No
THIES SUD,SIMBANDI BRASSOU,0,No
THIES SUD,DJIBABOUYA,0,No
THIES SUD,CABROUSSE,0,No
THIES SUD,LOUDIA OUOLOF,0,No
THIES SUD,SINDIAN,0,No
THIES SUD,TENGHORY,1,No
THIES SUD,KATABA I,0,No
THIES SUD,TENDOUCK,0,No
THIES SUD,NYASSIA,0,No
THIES SUD,NIAGUIS,2,No
THIES SUD,BANDAFASSI,2,No
THIES SUD,BEMBOU,1,No
THIES SUD,DAKATELY,0,No
THIES SUD,DAR SALAM,0,No
THIES SUD,FONGOLIMBI,0,No
THIES SUD,SABODALA,0,No
THIES SUD,KOUSSANAR,2,No
THIES SUD,MISSIRAH,0,No
THIES SUD,MAKACOULIBANTANG,0,No
THIES SUD,KOUTHIABA OUOLOF,0,No
THIES SUD,BAMBA NDIAYENE,1,No
THIES SUD,KOULOR,0,No
THIES SUD,DIANKE MAKHA,0,No
THIES SUD,BALA,0,No
THIES SUD,BOYNGUEL BAMBA,0,No
THIES SUD,MOUDERY,1,No
THIES SUD,KENIEBA,0,No
THIES SUD,BELE,1,No
THIES SUD,OGO,3,No
THIES SUD,AGNAM CIVOL,0,No
THIES SUD,VELINGARA,2,No
THIES SUD,ORKADIERE,0,No
THIES SUD,OURO SIDY,2,No
THIES NORD,PARCELLES ASSAINIES,5,No
THIES NORD,ALMADIES,6,No
THIES NORD,GRAND DAKAR,7,No
THIES NORD,DAKAR PLATEAU,5,No
THIES NORD,GUEDIAWAYE,5,No
THIES NORD,PIKINE DAGOUDANE,4,No
THIES NORD,THIAROYE,2,No
THIES NORD,NIAYES,3,No
THIES NORD,RUFISQUE,0,No
THIES NORD,BAMBILOR,1,No
THIES NORD,KEUR MOUSSA,0,No
THIES NORD,SINDIA,6,No
THIES NORD,NOTTO,0,No
THIES NORD,THIENABA,5,No
THIES NORD,PAMBAL,8,No
THIES NORD,MEOUANE,4,No
THIES NORD,MERINA DAKHAR,0,No
THIES NORD,NIAKHENE,0,No
THIES NORD,THIES SUD,73,No
THIES NORD,FISSEL,0,No
THIES NORD,SESSENE,1,No
THIES NORD,TAIF,0,No
THIES NORD,KAEL,0,No
THIES NORD,NDAME,8,No
THIES NORD,NDOULO,1,No
THIES NORD,NDINDY,0,No
THIES NORD,NGOYE,1,No
THIES NORD,LAMBAYE,0,No
THIES NORD,BABA GARAGE,0,No
THIES NORD,COLOBANE,0,No
THIES NORD,NIAKHAR,0,No
THIES NORD,TATTAGUINE,0,No
THIES NORD,OUADIOUR,0,No
THIES NORD,NDIOB,0,No
THIES NORD,FIMELA,0,No
THIES NORD,NIODIOR,0,No
THIES NORD,TOUBACOUTA,0,No
THIES NORD,DJILOR,0,No
THIES NORD,SAKAL,1,No
THIES NORD,MEUR MOMAR SARR,0,No
THIES NORD,MBEDIENE,2,No
THIES NORD,COKI,0,No
THIES NORD,SAGATTA GUETH I,1,No
THIES NORD,SAGATTA GUETH II,1,No
THIES NORD,DAROU MOUSTY,0,No
THIES NORD,SAGATTA DJOLOF,0,No
THIES NORD,YANG YANG,0,No
THIES NORD,DODJI,0,No
THIES NORD,BARKEDJI,0,No
THIES NORD,MBADAKHOUNE,0,No
THIES NORD,NGUELOU,1,No
THIES NORD,NGOTHIE,0,No
THIES NORD,KOUMBAL,0,No
THIES NORD,NDIEDIENG,0,No
THIES NORD,PAOS KOTO,0,No
THIES NORD,WACK NGOUNA,0,No
THIES NORD,MEDINA SABAKH,0,No
THIES NORD,GNIBY,0,No
THIES NORD,DAROU MINAME II,0,No
THIES NORD,KATAKELKEUR MBOUCKI,0,No
THIES NORD,KEUR MBOUCKI,0,No
THIES NORD,SAGNA,0,No
THIES NORD,IDA MOURIDE,1,No
THIES NORD,MISSIRAH WADENE,0,No
THIES NORD,LOUR ESCALE,0,No
THIES NORD,MABO,0,No
THIES NORD,MBANE,0,No
THIES NORD,SALDE,0,No
THIES NORD,NDIAYE MBERESS,2,No
THIES NORD,GAMADJI SARRE,1,No
THIES NORD,CAS CAS,0,No
THIES NORD,RAO,2,No
THIES NORD,THILE BOUBACAR,0,No
THIES NORD,FAFACOUROU,0,No
THIES NORD,MAMPATIM,0,No
THIES NORD,NDORNA,0,No
THIES NORD,BONCONTO,0,No
THIES NORD,NIAMING,0,No
THIES NORD,DIOULACOLON,0,No
THIES NORD,SARE COLY SALE,0,No
THIES NORD,PAKOUR,0,No
THIES NORD,SARE BIDJI,0,No
THIES NORD,DJIBANAR,0,No
THIES NORD,DJIREDJI,0,No
THIES NORD,DIAROUME,0,No
THIES NORD,BONA,0,No
THIES NORD,KARANTABA,0,No
THIES NORD,DIENDE,0,No
THIES NORD,BOGHAL,0,No
THIES NORD,SIMBANDI BRASSOU,0,No
THIES NORD,DJIBABOUYA,0,No
THIES NORD,CABROUSSE,0,No
THIES NORD,LOUDIA OUOLOF,0,No
THIES NORD,SINDIAN,0,No
THIES NORD,TENGHORY,0,No
THIES NORD,KATABA I,0,No
THIES NORD,TENDOUCK,0,No
THIES NORD,NYASSIA,0,No
THIES NORD,NIAGUIS,2,No
THIES NORD,BANDAFASSI,0,No
THIES NORD,BEMBOU,0,No
THIES NORD,DAKATELY,0,No
THIES NORD,DAR SALAM,0,No
THIES NORD,FONGOLIMBI,0,No
THIES NORD,SABODALA,0,No
THIES NORD,KOUSSANAR,3,No
THIES NORD,MISSIRAH,0,No
THIES NORD,MAKACOULIBANTANG,0,No
THIES NORD,KOUTHIABA OUOLOF,0,No
THIES NORD,BAMBA NDIAYENE,0,No
THIES NORD,KOULOR,0,No
THIES NORD,DIANKE MAKHA,0,No
THIES NORD,BALA,0,No
THIES NORD,BOYNGUEL BAMBA,0,No
THIES NORD,MOUDERY,0,No
THIES NORD,KENIEBA,0,No
THIES NORD,BELE,0,No
THIES NORD,OGO,0,No
THIES NORD,AGNAM CIVOL,0,No
THIES NORD,VELINGARA,0,No
THIES NORD,ORKADIERE,0,No
THIES NORD,OURO SIDY,0,No
FISSEL,PARCELLES ASSAINIES,3,No
FISSEL,ALMADIES,2,No
FISSEL,GRAND DAKAR,1,No
FISSEL,DAKAR PLATEAU,1,No
FISSEL,GUEDIAWAYE,0,No
FISSEL,PIKINE DAGOUDANE,0,No
FISSEL,THIAROYE,0,No
FISSEL,NIAYES,1,No
FISSEL,RUFISQUE,1,No
FISSEL,BAMBILOR,0,No
FISSEL,KEUR MOUSSA,1,No
FISSEL,SINDIA,2,No
FISSEL,NOTTO,0,No
FISSEL,THIENABA,3,No
FISSEL,PAMBAL,0,No
FISSEL,MEOUANE,0,No
FISSEL,MERINA DAKHAR,0,No
FISSEL,NIAKHENE,0,No
FISSEL,THIES SUD,2,No
FISSEL,THIES NORD,0,No
FISSEL,SESSENE,3,No
FISSEL,TAIF,0,No
FISSEL,KAEL,0,No
FISSEL,NDAME,2,No
FISSEL,NDOULO,0,No
FISSEL,NDINDY,0,No
FISSEL,NGOYE,0,No
FISSEL,LAMBAYE,0,No
FISSEL,BABA GARAGE,1,No
FISSEL,COLOBANE,0,No
FISSEL,NIAKHAR,0,No
FISSEL,TATTAGUINE,0,No
FISSEL,OUADIOUR,0,No
FISSEL,NDIOB,0,No
FISSEL,FIMELA,1,No
FISSEL,NIODIOR,0,No
FISSEL,TOUBACOUTA,0,No
FISSEL,DJILOR,0,No
FISSEL,SAKAL,0,No
FISSEL,MEUR MOMAR SARR,0,No
FISSEL,MBEDIENE,0,No
FISSEL,COKI,0,No
FISSEL,SAGATTA GUETH I,0,No
FISSEL,SAGATTA GUETH II,0,No
FISSEL,DAROU MOUSTY,0,No
FISSEL,SAGATTA DJOLOF,0,No
FISSEL,YANG YANG,0,No
FISSEL,DODJI,0,No
FISSEL,BARKEDJI,0,No
FISSEL,MBADAKHOUNE,0,No
FISSEL,NGUELOU,0,No
FISSEL,NGOTHIE,0,No
FISSEL,KOUMBAL,0,No
FISSEL,NDIEDIENG,0,No
FISSEL,PAOS KOTO,0,No
FISSEL,WACK NGOUNA,0,No
FISSEL,MEDINA SABAKH,0,No
FISSEL,GNIBY,0,No
FISSEL,DAROU MINAME II,0,No
FISSEL,KATAKELKEUR MBOUCKI,0,No
FISSEL,KEUR MBOUCKI,0,No
FISSEL,SAGNA,0,No
FISSEL,IDA MOURIDE,0,No
FISSEL,MISSIRAH WADENE,0,No
FISSEL,LOUR ESCALE,0,No
FISSEL,MABO,0,No
FISSEL,MBANE,0,No
FISSEL,SALDE,0,No
FISSEL,NDIAYE MBERESS,0,No
FISSEL,GAMADJI SARRE,0,No
FISSEL,CAS CAS,0,No
FISSEL,RAO,0,No
FISSEL,THILE BOUBACAR,0,No
FISSEL,FAFACOUROU,0,No
FISSEL,MAMPATIM,0,No
FISSEL,NDORNA,0,No
FISSEL,BONCONTO,0,No
FISSEL,NIAMING,0,No
FISSEL,DIOULACOLON,0,No
FISSEL,SARE COLY SALE,0,No
FISSEL,PAKOUR,0,No
FISSEL,SARE BIDJI,0,No
FISSEL,DJIBANAR,0,No
FISSEL,DJIREDJI,0,No
FISSEL,DIAROUME,0,No
FISSEL,BONA,0,No
FISSEL,KARANTABA,0,No
FISSEL,DIENDE,0,No
FISSEL,BOGHAL,0,No
FISSEL,SIMBANDI BRASSOU,0,No
FISSEL,DJIBABOUYA,0,No
FISSEL,CABROUSSE,0,No
FISSEL,LOUDIA OUOLOF,0,No
FISSEL,SINDIAN,0,No
FISSEL,TENGHORY,0,No
FISSEL,KATABA I,0,No
FISSEL,TENDOUCK,0,No
FISSEL,NYASSIA,0,No
FISSEL,NIAGUIS,0,No
FISSEL,BANDAFASSI,0,No
FISSEL,BEMBOU,0,No
FISSEL,DAKATELY,0,No
FISSEL,DAR SALAM,0,No
FISSEL,FONGOLIMBI,0,No
FISSEL,SABODALA,0,No
FISSEL,KOUSSANAR,0,No
FISSEL,MISSIRAH,0,No
FISSEL,MAKACOULIBANTANG,0,No
FISSEL,KOUTHIABA OUOLOF,0,No
FISSEL,BAMBA NDIAYENE,0,No
FISSEL,KOULOR,0,No
FISSEL,DIANKE MAKHA,0,No
FISSEL,BALA,0,No
FISSEL,BOYNGUEL BAMBA,0,No
FISSEL,MOUDERY,0,No
FISSEL,KENIEBA,0,No
FISSEL,BELE,0,No
FISSEL,OGO,0,No
FISSEL,AGNAM CIVOL,0,No
FISSEL,VELINGARA,0,No
FISSEL,ORKADIERE,0,No
FISSEL,OURO SIDY,0,No
SESSENE,PARCELLES ASSAINIES,3,No
SESSENE,ALMADIES,1,No
SESSENE,GRAND DAKAR,4,No
SESSENE,DAKAR PLATEAU,5,No
SESSENE,GUEDIAWAYE,3,No
SESSENE,PIKINE DAGOUDANE,2,No
SESSENE,THIAROYE,4,No
SESSENE,NIAYES,8,No
SESSENE,RUFISQUE,6,No
SESSENE,BAMBILOR,6,No
SESSENE,KEUR MOUSSA,0,No
SESSENE,SINDIA,18,No
SESSENE,NOTTO,0,No
SESSENE,THIENABA,0,No
SESSENE,PAMBAL,0,No
SESSENE,MEOUANE,3,No
SESSENE,MERINA DAKHAR,1,No
SESSENE,NIAKHENE,0,No
SESSENE,THIES SUD,3,No
SESSENE,THIES NORD,0,No
SESSENE,FISSEL,4,No
SESSENE,TAIF,0,No
SESSENE,KAEL,0,No
SESSENE,NDAME,7,No
SESSENE,NDOULO,1,No
SESSENE,NDINDY,0,No
SESSENE,NGOYE,0,No
SESSENE,LAMBAYE,0,No
SESSENE,BABA GARAGE,0,No
SESSENE,COLOBANE,0,No
SESSENE,NIAKHAR,2,No
SESSENE,TATTAGUINE,3,No
SESSENE,OUADIOUR,0,No
SESSENE,NDIOB,0,No
SESSENE,FIMELA,6,No
SESSENE,NIODIOR,4,No
SESSENE,TOUBACOUTA,1,No
SESSENE,DJILOR,0,No
SESSENE,SAKAL,0,No
SESSENE,MEUR MOMAR SARR,0,No
SESSENE,MBEDIENE,2,No
SESSENE,COKI,0,No
SESSENE,SAGATTA GUETH I,0,No
SESSENE,SAGATTA GUETH II,0,No
SESSENE,DAROU MOUSTY,1,No
SESSENE,SAGATTA DJOLOF,0,No
SESSENE,YANG YANG,0,No
SESSENE,DODJI,0,No
SESSENE,BARKEDJI,1,No
SESSENE,MBADAKHOUNE,0,No
SESSENE,NGUELOU,0,No
SESSENE,NGOTHIE,0,No
SESSENE,KOUMBAL,4,No
SESSENE,NDIEDIENG,1,No
SESSENE,PAOS KOTO,0,No
SESSENE,WACK NGOUNA,0,No
SESSENE,MEDINA SABAKH,1,No
SESSENE,GNIBY,0,No
SESSENE,DAROU MINAME II,0,No
SESSENE,KATAKELKEUR MBOUCKI,0,No
SESSENE,KEUR MBOUCKI,0,No
SESSENE,SAGNA,1,No
SESSENE,IDA MOURIDE,2,No
SESSENE,MISSIRAH WADENE,0,No
SESSENE,LOUR ESCALE,0,No
SESSENE,MABO,1,No
SESSENE,MBANE,0,No
SESSENE,SALDE,0,No
SESSENE,NDIAYE MBERESS,1,No
SESSENE,GAMADJI SARRE,2,No
SESSENE,CAS CAS,0,No
SESSENE,RAO,6,No
SESSENE,THILE BOUBACAR,0,No
SESSENE,FAFACOUROU,0,No
SESSENE,MAMPATIM,1,No
SESSENE,NDORNA,0,No
SESSENE,BONCONTO,0,No
SESSENE,NIAMING,0,No
SESSENE,DIOULACOLON,0,No
SESSENE,SARE COLY SALE,1,No
SESSENE,PAKOUR,0,No
SESSENE,SARE BIDJI,0,No
SESSENE,DJIBANAR,0,No
SESSENE,DJIREDJI,0,No
SESSENE,DIAROUME,0,No
SESSENE,BONA,0,No
SESSENE,KARANTABA,0,No
SESSENE,DIENDE,0,No
SESSENE,BOGHAL,1,No
SESSENE,SIMBANDI BRASSOU,1,No
SESSENE,DJIBABOUYA,0,No
SESSENE,CABROUSSE,0,No
SESSENE,LOUDIA OUOLOF,0,No
SESSENE,SINDIAN,0,No
SESSENE,TENGHORY,0,No
SESSENE,KATABA I,0,No
SESSENE,TENDOUCK,0,No
SESSENE,NYASSIA,0,No
SESSENE,NIAGUIS,0,No
SESSENE,BANDAFASSI,0,No
SESSENE,BEMBOU,0,No
SESSENE,DAKATELY,0,No
SESSENE,DAR SALAM,0,No
SESSENE,FONGOLIMBI,0,No
SESSENE,SABODALA,0,No
SESSENE,KOUSSANAR,1,No
SESSENE,MISSIRAH,0,No
SESSENE,MAKACOULIBANTANG,0,No
SESSENE,KOUTHIABA OUOLOF,0,No
SESSENE,BAMBA NDIAYENE,5,No
SESSENE,KOULOR,0,No
SESSENE,DIANKE MAKHA,0,No
SESSENE,BALA,0,No
SESSENE,BOYNGUEL BAMBA,0,No
SESSENE,MOUDERY,0,No
SESSENE,KENIEBA,0,No
SESSENE,BELE,0,No
SESSENE,OGO,0,No
SESSENE,AGNAM CIVOL,0,No
SESSENE,VELINGARA,0,No
SESSENE,ORKADIERE,0,No
SESSENE,OURO SIDY,0,No
TAIF,PARCELLES ASSAINIES,0,No
TAIF,ALMADIES,0,No
TAIF,GRAND DAKAR,0,No
TAIF,DAKAR PLATEAU,0,No
TAIF,GUEDIAWAYE,0,No
TAIF,PIKINE DAGOUDANE,0,No
TAIF,THIAROYE,0,No
TAIF,NIAYES,0,No
TAIF,RUFISQUE,0,No
TAIF,BAMBILOR,0,No
TAIF,KEUR MOUSSA,0,No
TAIF,SINDIA,0,No
TAIF,NOTTO,0,No
TAIF,THIENABA,0,No
TAIF,PAMBAL,0,No
TAIF,MEOUANE,0,No
TAIF,MERINA DAKHAR,0,No
TAIF,NIAKHENE,0,No
TAIF,THIES SUD,0,No
TAIF,THIES NORD,0,No
TAIF,FISSEL,0,No
TAIF,SESSENE,0,No
TAIF,KAEL,0,No
TAIF,NDAME,8,No
TAIF,NDOULO,0,No
TAIF,NDINDY,0,No
TAIF,NGOYE,0,No
TAIF,LAMBAYE,0,No
TAIF,BABA GARAGE,0,No
TAIF,COLOBANE,0,No
TAIF,NIAKHAR,0,No
TAIF,TATTAGUINE,0,No
TAIF,OUADIOUR,0,No
TAIF,NDIOB,0,No
TAIF,FIMELA,0,No
TAIF,NIODIOR,0,No
TAIF,TOUBACOUTA,0,No
TAIF,DJILOR,0,No
TAIF,SAKAL,0,No
TAIF,MEUR MOMAR SARR,0,No
TAIF,MBEDIENE,0,No
TAIF,COKI,0,No
TAIF,SAGATTA GUETH I,0,No
TAIF,SAGATTA GUETH II,0,No
TAIF,DAROU MOUSTY,0,No
TAIF,SAGATTA DJOLOF,0,No
TAIF,YANG YANG,0,No
TAIF,DODJI,0,No
TAIF,BARKEDJI,2,No
TAIF,MBADAKHOUNE,0,No
TAIF,NGUELOU,0,No
TAIF,NGOTHIE,0,No
TAIF,KOUMBAL,0,No
TAIF,NDIEDIENG,0,No
TAIF,PAOS KOTO,0,No
TAIF,WACK NGOUNA,0,No
TAIF,MEDINA SABAKH,0,No
TAIF,GNIBY,0,No
TAIF,DAROU MINAME II,1,No
TAIF,KATAKELKEUR MBOUCKI,0,No
TAIF,KEUR MBOUCKI,0,No
TAIF,SAGNA,0,No
TAIF,IDA MOURIDE,0,No
TAIF,MISSIRAH WADENE,0,No
TAIF,LOUR ESCALE,0,No
TAIF,MABO,0,No
TAIF,MBANE,0,No
TAIF,SALDE,0,No
TAIF,NDIAYE MBERESS,0,No
TAIF,GAMADJI SARRE,0,No
TAIF,CAS CAS,0,No
TAIF,RAO,0,No
TAIF,THILE BOUBACAR,0,No
TAIF,FAFACOUROU,0,No
TAIF,MAMPATIM,0,No
TAIF,NDORNA,0,No
TAIF,BONCONTO,0,No
TAIF,NIAMING,0,No
TAIF,DIOULACOLON,0,No
TAIF,SARE COLY SALE,0,No
TAIF,PAKOUR,0,No
TAIF,SARE BIDJI,0,No
TAIF,DJIBANAR,0,No
TAIF,DJIREDJI,0,No
TAIF,DIAROUME,0,No
TAIF,BONA,0,No
TAIF,KARANTABA,0,No
TAIF,DIENDE,0,No
TAIF,BOGHAL,0,No
TAIF,SIMBANDI BRASSOU,0,No
TAIF,DJIBABOUYA,0,No
TAIF,CABROUSSE,0,No
TAIF,LOUDIA OUOLOF,0,No
TAIF,SINDIAN,0,No
TAIF,TENGHORY,0,No
TAIF,KATABA I,0,No
TAIF,TENDOUCK,0,No
TAIF,NYASSIA,0,No
TAIF,NIAGUIS,1,No
TAIF,BANDAFASSI,0,No
TAIF,BEMBOU,0,No
TAIF,DAKATELY,0,No
TAIF,DAR SALAM,0,No
TAIF,FONGOLIMBI,0,No
TAIF,SABODALA,0,No
TAIF,KOUSSANAR,0,No
TAIF,MISSIRAH,0,No
TAIF,MAKACOULIBANTANG,0,No
TAIF,KOUTHIABA OUOLOF,1,No
TAIF,BAMBA NDIAYENE,0,No
TAIF,KOULOR,0,No
TAIF,DIANKE MAKHA,0,No
TAIF,BALA,0,No
TAIF,BOYNGUEL BAMBA,0,No
TAIF,MOUDERY,0,No
TAIF,KENIEBA,0,No
TAIF,BELE,0,No
TAIF,OGO,0,No
TAIF,AGNAM CIVOL,0,No
TAIF,VELINGARA,0,No
TAIF,ORKADIERE,0,No
TAIF,OURO SIDY,0,No
KAEL,PARCELLES ASSAINIES,0,No
KAEL,ALMADIES,0,No
KAEL,GRAND DAKAR,0,No
KAEL,DAKAR PLATEAU,0,No
KAEL,GUEDIAWAYE,0,No
KAEL,PIKINE DAGOUDANE,0,No
KAEL,THIAROYE,0,No
KAEL,NIAYES,0,No
KAEL,RUFISQUE,0,No
KAEL,BAMBILOR,0,No
KAEL,KEUR MOUSSA,0,No
KAEL,SINDIA,0,No
KAEL,NOTTO,0,No
KAEL,THIENABA,0,No
KAEL,PAMBAL,0,No
KAEL,MEOUANE,0,No
KAEL,MERINA DAKHAR,0,No
KAEL,NIAKHENE,0,No
KAEL,THIES SUD,0,No
KAEL,THIES NORD,0,No
KAEL,FISSEL,0,No
KAEL,SESSENE,0,No
KAEL,TAIF,1,No
KAEL,NDAME,1,No
KAEL,NDOULO,0,No
KAEL,NDINDY,0,No
KAEL,NGOYE,0,No
KAEL,LAMBAYE,0,No
KAEL,BABA GARAGE,0,No
KAEL,COLOBANE,0,No
KAEL,NIAKHAR,0,No
KAEL,TATTAGUINE,0,No
KAEL,OUADIOUR,0,No
KAEL,NDIOB,0,No
KAEL,FIMELA,0,No
KAEL,NIODIOR,0,No
KAEL,TOUBACOUTA,0,No
KAEL,DJILOR,0,No
KAEL,SAKAL,0,No
KAEL,MEUR MOMAR SARR,0,No
KAEL,MBEDIENE,0,No
KAEL,COKI,0,No
KAEL,SAGATTA GUETH I,0,No
KAEL,SAGATTA GUETH II,0,No
KAEL,DAROU MOUSTY,0,No
KAEL,SAGATTA DJOLOF,0,No
KAEL,YANG YANG,0,No
KAEL,DODJI,0,No
KAEL,BARKEDJI,1,No
KAEL,MBADAKHOUNE,0,No
KAEL,NGUELOU,0,No
KAEL,NGOTHIE,0,No
KAEL,KOUMBAL,0,No
KAEL,NDIEDIENG,0,No
KAEL,PAOS KOTO,0,No
KAEL,WACK NGOUNA,0,No
KAEL,MEDINA SABAKH,0,No
KAEL,GNIBY,0,No
KAEL,DAROU MINAME II,1,No
KAEL,KATAKELKEUR MBOUCKI,0,No
KAEL,KEUR MBOUCKI,0,No
KAEL,SAGNA,0,No
KAEL,IDA MOURIDE,0,No
KAEL,MISSIRAH WADENE,0,No
KAEL,LOUR ESCALE,0,No
KAEL,MABO,0,No
KAEL,MBANE,0,No
KAEL,SALDE,0,No
KAEL,NDIAYE MBERESS,0,No
KAEL,GAMADJI SARRE,0,No
KAEL,CAS CAS,0,No
KAEL,RAO,0,No
KAEL,THILE BOUBACAR,0,No
KAEL,FAFACOUROU,0,No
KAEL,MAMPATIM,0,No
KAEL,NDORNA,0,No
KAEL,BONCONTO,0,No
KAEL,NIAMING,0,No
KAEL,DIOULACOLON,0,No
KAEL,SARE COLY SALE,0,No
KAEL,PAKOUR,0,No
KAEL,SARE BIDJI,0,No
KAEL,DJIBANAR,0,No
KAEL,DJIREDJI,0,No
KAEL,DIAROUME,0,No
KAEL,BONA,0,No
KAEL,KARANTABA,0,No
KAEL,DIENDE,0,No
KAEL,BOGHAL,0,No
KAEL,SIMBANDI BRASSOU,0,No
KAEL,DJIBABOUYA,0,No
KAEL,CABROUSSE,0,No
KAEL,LOUDIA OUOLOF,0,No
KAEL,SINDIAN,0,No
KAEL,TENGHORY,0,No
KAEL,KATABA I,0,No
KAEL,TENDOUCK,0,No
KAEL,NYASSIA,0,No
KAEL,NIAGUIS,0,No
KAEL,BANDAFASSI,0,No
KAEL,BEMBOU,0,No
KAEL,DAKATELY,0,No
KAEL,DAR SALAM,0,No
KAEL,FONGOLIMBI,0,No
KAEL,SABODALA,0,No
KAEL,KOUSSANAR,0,No
KAEL,MISSIRAH,0,No
KAEL,MAKACOULIBANTANG,0,No
KAEL,KOUTHIABA OUOLOF,0,No
KAEL,BAMBA NDIAYENE,0,No
KAEL,KOULOR,0,No
KAEL,DIANKE MAKHA,0,No
KAEL,BALA,0,No
KAEL,BOYNGUEL BAMBA,0,No
KAEL,MOUDERY,0,No
KAEL,KENIEBA,0,No
KAEL,BELE,0,No
KAEL,OGO,0,No
KAEL,AGNAM CIVOL,0,No
KAEL,VELINGARA,0,No
KAEL,ORKADIERE,0,No
KAEL,OURO SIDY,0,No
NDAME,PARCELLES ASSAINIES,19,No
NDAME,ALMADIES,6,No
NDAME,GRAND DAKAR,13,No
NDAME,DAKAR PLATEAU,8,No
NDAME,GUEDIAWAYE,7,No
NDAME,PIKINE DAGOUDANE,9,No
NDAME,THIAROYE,12,No
NDAME,NIAYES,11,No
NDAME,RUFISQUE,4,No
NDAME,BAMBILOR,4,No
NDAME,KEUR MOUSSA,1,No
NDAME,SINDIA,7,No
NDAME,NOTTO,0,No
NDAME,THIENABA,5,No
NDAME,PAMBAL,10,No
NDAME,MEOUANE,5,No
NDAME,MERINA DAKHAR,1,No
NDAME,NIAKHENE,3,No
NDAME,THIES SUD,5,No
NDAME,THIES NORD,5,No
NDAME,FISSEL,0,No
NDAME,SESSENE,2,No
NDAME,TAIF,8,No
NDAME,KAEL,1,No
NDAME,NDOULO,11,No
NDAME,NDINDY,2,No
NDAME,NGOYE,2,No
NDAME,LAMBAYE,1,No
NDAME,BABA GARAGE,0,No
NDAME,COLOBANE,4,No
NDAME,NIAKHAR,1,No
NDAME,TATTAGUINE,0,No
NDAME,OUADIOUR,1,No
NDAME,NDIOB,2,No
NDAME,FIMELA,0,No
NDAME,NIODIOR,0,No
NDAME,TOUBACOUTA,0,No
NDAME,DJILOR,2,No
NDAME,SAKAL,0,No
NDAME,MEUR MOMAR SARR,1,No
NDAME,MBEDIENE,2,No
NDAME,COKI,1,No
NDAME,SAGATTA GUETH I,1,No
NDAME,SAGATTA GUETH II,1,No
NDAME,DAROU MOUSTY,12,No
NDAME,SAGATTA DJOLOF,4,No
NDAME,YANG YANG,3,No
NDAME,DODJI,8,No
NDAME,BARKEDJI,4,No
NDAME,MBADAKHOUNE,0,No
NDAME,NGUELOU,1,No
NDAME,NGOTHIE,0,No
NDAME,KOUMBAL,7,No
NDAME,NDIEDIENG,0,No
NDAME,PAOS KOTO,1,No
NDAME,WACK NGOUNA,0,No
NDAME,MEDINA SABAKH,0,No
NDAME,GNIBY,1,No
NDAME,DAROU MINAME II,3,No
NDAME,KATAKELKEUR MBOUCKI,1,No
NDAME,KEUR MBOUCKI,0,No
NDAME,SAGNA,0,No
NDAME,IDA MOURIDE,1,No
NDAME,MISSIRAH WADENE,2,No
NDAME,LOUR ESCALE,2,No
NDAME,MABO,2,No
NDAME,MBANE,1,No
NDAME,SALDE,2,No
NDAME,NDIAYE MBERESS,3,No
NDAME,GAMADJI SARRE,0,No
NDAME,CAS CAS,1,No
NDAME,RAO,1,No
NDAME,THILE BOUBACAR,2,No
NDAME,FAFACOUROU,0,No
NDAME,MAMPATIM,0,No
NDAME,NDORNA,1,No
